round_epochs,val_loss,val_acc,loss,acc,dropout_rate,epochs,hidden_neurons,l1_reg,l2_reg,lr,n_snps
600,4.480736027902632,0.514925373388506,0.15049528791705769,0.9629333333333333,0.3,600,3,1e-06,0,0.0001,30637
600,2.185213355621549,0.5319829426848812,0.4562806583563487,0.7245333333651225,0.3,600,3,1e-06,0,0.0001,30637
600,4.1931489261228645,0.5138592750533049,0.2002125154654185,0.9482666666666667,0.3,600,3,1e-06,0,0.001,30637
600,0.6618856931291918,0.6257995738149452,0.6616156165440877,0.6263999999682108,0.3,600,3,1e-06,0,0.01,30637
600,3.8829714794402945,0.5181236673773987,0.1760869792620341,0.9621333333015442,0.3,600,3,1e-05,0,0.0001,30637
600,2.5864355569200983,0.5692963752665245,0.340414878988266,0.9125333333333333,0.3,600,3,1e-05,0,0.001,30637
600,2.4916310401867703,0.5639658851155849,0.6463029052416484,0.8757333333015442,0.3,600,3,1e-05,0,0.01,30637
600,1.5931292924799645,0.5746268656716418,0.298217569732666,0.9178666666348775,0.3,600,3,0.0001,0,0.0001,30637
600,1.4411579599258488,0.5511727078891258,0.5616293029785157,0.7565333333015442,0.3,600,3,0.0001,0,0.001,30637
600,1.2623850801097813,0.6257995738149452,1.0001691195170084,0.6245333333333334,0.3,600,3,0.0001,0,0.01,30637
600,2.1696799045432607,0.5511727081433034,0.587449434407552,0.8978666666666667,0.3,600,3,0.001,0,0.0001,30637
600,1.2121910743876052,0.6023454157782516,1.1066996333440144,0.7434666666984558,0.3,600,3,0.001,0,0.001,30637
600,0.9914406863356958,0.6257995738149452,0.9892467467308045,0.6264000000317892,0.3,600,3,0.001,0,0.01,30637
600,0.6949740436031366,0.6257995738149452,0.694667277208964,0.6264000000317892,0.3,600,3,0.01,0,0.0001,30637
600,0.9711692189611097,0.6257995738149452,0.9710665904362996,0.6263999999682108,0.3,600,3,0.01,0,0.001,30637
600,3.9209022745648934,0.6257995738149452,3.844603322219849,0.6264,0.3,600,3,0.01,0,0.01,30637
600,4.016034973201467,0.5906183370140824,0.0855775775829951,0.9778666666666667,0.3,600,6,1e-06,0,0.0001,30637
600,4.627722734073077,0.5682302771855011,0.17642224414348603,0.9570666666666666,0.3,600,6,1e-06,0,0.001,30637
600,4.803706803555682,0.55863539445629,0.4146112215042114,0.96,0.3,600,6,1e-06,0,0.01,30637
600,4.173053709937057,0.5575692963752665,0.144938847164313,0.9664,0.3,600,6,1e-05,0,0.0001,30637
600,4.118673483191777,0.5394456289978679,0.2923875769376755,0.9698666666666667,0.3,600,6,1e-05,0,0.001,30637
600,3.0233292655904154,0.586353944435811,0.8253937875429789,0.9279999999682108,0.3,600,6,1e-05,0,0.01,30637
600,3.5827949697783255,0.5511727081433034,0.2942060568412145,0.9594666666666667,0.3,600,6,0.0001,0,0.0001,30637
600,2.212349235376061,0.5618336886993603,0.7090468151410421,0.9402666666666667,0.3,600,6,0.0001,0,0.001,30637
600,1.317137185190278,0.6034115137321863,1.0289278460184732,0.7848000000317892,0.3,600,6,0.0001,0,0.01,30637
600,2.142268180847168,0.5692963752665245,0.8307879740397135,0.9152000000317891,0.3,600,6,0.001,0,0.0001,30637
600,1.2652808051627835,0.5298507463322011,0.9768342624664307,0.6946666666666667,0.3,600,6,0.001,0,0.001,30637
600,1.312373205288641,0.6257995738149452,1.310199821472168,0.6263999999682108,0.3,600,6,0.001,0,0.01,30637
600,0.7248054114994464,0.6257995738149452,0.7246196950912476,0.6263999999682108,0.3,600,6,0.01,0,0.0001,30637
600,1.2563704737722239,0.6257995738149452,1.2551386656443277,0.6264,0.3,600,6,0.01,0,0.001,30637
600,7.16240919170095,0.6257995738149452,7.101876527150472,0.6264000000317892,0.3,600,6,0.01,0,0.01,30637
600,5.018909818328011,0.5511727081433034,0.0534468585451444,0.9888,0.3,600,10,1e-06,0,0.0001,30637
600,4.848180105945449,0.567164179168022,0.12491454874674479,0.9861333333015442,0.3,600,10,1e-06,0,0.001,30637
600,4.51238625390189,0.579957356076759,0.5332729674975077,0.968,0.3,600,10,1e-06,0,0.01,30637
600,4.654628199554964,0.5522388060336937,0.11101028362115224,0.9837333333333333,0.3,600,10,1e-05,0,0.0001,30637
600,3.8235150593430247,0.5479744136460555,0.3166750527381897,0.9810666666666666,0.3,600,10,1e-05,0,0.001,30637
600,3.0982999750800224,0.593816631130064,1.226148346010844,0.9210666666666667,0.3,600,10,1e-05,0,0.01,30637
600,3.28282943005755,0.55863539445629,0.3168182380358378,0.9816,0.3,600,10,0.0001,0,0.0001,30637
600,2.811586125318938,0.571428571682749,0.8526959878921508,0.9570666666666666,0.3,600,10,0.0001,0,0.001,30637
600,1.3684049351637297,0.6108742004264393,1.1091697298049927,0.7853333333651225,0.3,600,10,0.0001,0,0.01,30637
600,1.8909545712379505,0.5554371004673972,0.39772688959439595,0.9287999999682108,0.3,600,10,0.001,0,0.0001,30637
600,1.4296858074314305,0.5426439233680269,1.0956150133768718,0.6970666666984559,0.3,600,10,0.001,0,0.001,30637
600,1.7229424821796702,0.6257995738149452,1.7211747383117675,0.6263999999682108,0.3,600,10,0.001,0,0.01,30637
600,0.7592202428815715,0.6257995738149452,0.7585461290041605,0.6264,0.3,600,10,0.01,0,0.0001,30637

