round_epochs,val_loss,val_acc,loss,acc,dropout_rate,epochs,hidden_neurons,l1_reg,l2_reg,lr,n_snps
800,2.9646444341012916,0.5639658848614072,0.40021021644274396,0.7714666666984558,0.3,800,3,1e-07,0,0.0001,11368
800,2.862561125745143,0.5863539448170774,0.29232367266813913,0.8976,0.3,800,3,1e-07,0,0.001,11368
800,3.1093651028330136,0.6002132196162047,0.34985546126365663,0.8381333333333333,0.3,800,3,1e-07,0,0.01,11368
800,0.6695641435539799,0.6257995736243119,0.6641943442980448,0.6263999999682108,0.3,800,3,1e-07,0,0.1,11368
800,3.5100033684834235,0.570362473347548,0.18772723808288574,0.9290666666666667,0.3,800,3,1e-06,0,0.0001,11368
800,3.7093425051235696,0.5383795309168443,0.2577837987939517,0.9053333333333333,0.3,800,3,1e-06,0,0.001,11368
800,2.379713306040652,0.5842217484008528,0.4027140948931376,0.8261333333651225,0.3,800,3,1e-06,0,0.01,11368
800,0.6652452441166713,0.6257995736243119,0.6662652497291565,0.6264,0.3,800,3,1e-06,0,0.1,11368
800,2.4642153975806003,0.5543710023863737,0.19784222566286722,0.9317333333015442,0.3,800,3,1e-05,0,0.0001,11368
800,2.4235986234790987,0.5895522390601478,0.372923597017924,0.8407999999682109,0.3,800,3,1e-05,0,0.001,11368
800,2.099814157496129,0.5810234542848713,0.5327448199590047,0.8509333333015442,0.3,800,3,1e-05,0,0.01,11368
800,0.6950007450860193,0.6257995736243119,0.6756040398279826,0.6264000000158946,0.3,800,3,1e-05,0,0.1,11368
800,0.9272559186034619,0.5895522390601478,0.5029456625938415,0.6749333333333334,0.3,800,3,0.0001,0,0.0001,11368
800,1.6719754840265204,0.5415778254140923,0.5363364963213603,0.7485333333333334,0.3,800,3,0.0001,0,0.001,11368
800,0.673704672088501,0.6257995736243119,0.6736011796315511,0.6264000000158946,0.3,800,3,0.0001,0,0.01,11368
800,0.7878296792125905,0.6257995736243119,0.7939724097569784,0.6264000000317892,0.3,800,3,0.0001,0,0.1,11368
800,0.6622852355178231,0.6257995736243119,0.6619846325238545,0.6264,0.3,800,3,0.001,0,0.0001,11368
800,0.6718448819890459,0.6257995736243119,0.671623305384318,0.6264000000079473,0.3,800,3,0.001,0,0.001,11368
